,model_name,model_variation,dimension,female_names,male_names
59,Meta-Llama-3-8B,liberal_4-g-n,Agency,-0.5309585383996356,0.5309585383996357
60,Meta-Llama-3-8B,liberal_4-g-n,Status,-0.1274698773642232,0.127469877364224
61,Meta-Llama-3-8B,liberal_4-g-n,Politics,-0.0606930769878898,0.0606930769878899
62,Meta-Llama-3-8B,liberal_4-g-n,Religion,0.2129373825597823,-0.2129373825597836
63,Meta-Llama-3-8B,conservative_2-g-n,Sociability,0.3529386159262377,-0.3529386159262377
64,Meta-Llama-3-8B,conservative_2-g-n,Morality,0.4116713784535692,-0.411671378453569
65,Meta-Llama-3-8B,conservative_2-g-n,Ability,-0.1809942215308869,0.1809942215308869
66,Meta-Llama-3-8B,conservative_2-g-n,Agency,-0.4606270270188466,0.4606270270188463
67,Meta-Llama-3-8B,conservative_2-g-n,Status,-0.1829930930120588,0.1829930930120589
68,Meta-Llama-3-8B,conservative_2-g-n,Politics,-0.2159181705549322,0.2159181705549322
69,Meta-Llama-3-8B,conservative_2-g-n,Religion,0.0140610440910365,-0.0140610440910362
70,Qwen3-8B,democratic_2-g-n,Sociability,0.4275283201564994,-0.4275283201564985
71,Qwen3-8B,democratic_2-g-n,Morality,0.4860110354527155,-0.4860110354527155
72,Qwen3-8B,democratic_2-g-n,Ability,-0.083329240162147,0.0833292401621472
73,Qwen3-8B,democratic_2-g-n,Agency,-0.4437429194900567,0.4437429194900569
74,Qwen3-8B,democratic_2-g-n,Status,-0.0268043545819327,0.0268043545819336
75,Qwen3-8B,democratic_2-g-n,Politics,-0.0348242314801408,0.0348242314801406
76,Qwen3-8B,democratic_2-g-n,Religion,-0.0547875748491745,0.0547875748491755
77,Apertus-8B-Instruct-2509,conservative_9-g-n,Sociability,0.440576953890997,-0.4405769538909954
78,Apertus-8B-Instruct-2509,conservative_9-g-n,Morality,0.2186168433390131,-0.2186168433390139
79,Apertus-8B-Instruct-2509,conservative_9-g-n,Ability,-0.0226283936865465,0.0226283936865462
80,Apertus-8B-Instruct-2509,conservative_9-g-n,Agency,-0.3795958734572366,0.3795958734572375
81,Apertus-8B-Instruct-2509,conservative_9-g-n,Status,-0.2264089884822794,0.2264089884822767
82,Apertus-8B-Instruct-2509,conservative_9-g-n,Politics,0.013978764234129,-0.013978764234129
83,Apertus-8B-Instruct-2509,conservative_9-g-n,Religion,-0.1566499902921546,0.1566499902921565
84,Meta-Llama-3-8B,conservative_4-g-n,Sociability,0.3590823582635011,-0.3590823582635009
85,Meta-Llama-3-8B,conservative_4-g-n,Morality,0.390736149336171,-0.39073614933617
86,Meta-Llama-3-8B,conservative_4-g-n,Ability,-0.143918740545806,0.143918740545806
87,Meta-Llama-3-8B,conservative_4-g-n,Agency,-0.4759970370629811,0.4759970370629811
88,Meta-Llama-3-8B,conservative_4-g-n,Status,-0.1655023884277281,0.165502388427728
89,Meta-Llama-3-8B,conservative_4-g-n,Politics,-0.2569182221212225,0.2569182221212225
90,Meta-Llama-3-8B,conservative_4-g-n,Religion,0.0281454393897147,-0.0281454393897144
91,Qwen3-8B,conservative_8-g-n,Sociability,0.4481621880418508,-0.4481621880418512
92,Qwen3-8B,conservative_8-g-n,Morality,0.4853158604685374,-0.4853158604685373
93,Qwen3-8B,conservative_8-g-n,Ability,-0.1267585196944222,0.1267585196944213
94,Qwen3-8B,conservative_8-g-n,Agency,-0.4367475906600691,0.4367475906600698
95,Qwen3-8B,conservative_8-g-n,Status,-0.0542541666051124,0.0542541666051128
96,Qwen3-8B,conservative_8-g-n,Politics,-0.0973098937281591,0.0973098937281591
97,Qwen3-8B,conservative_8-g-n,Religion,-0.1183093509839166,0.1183093509839175
98,Apertus-8B-Instruct-2509,democratic_1-g-n,Sociability,0.4497082954563698,-0.449708295456371
99,Apertus-8B-Instruct-2509,democratic_1-g-n,Morality,0.2243502770200574,-0.2243502770200575
100,Apertus-8B-Instruct-2509,democratic_1-g-n,Ability,-0.0377955642127022,0.037795564212702
101,Apertus-8B-Instruct-2509,democratic_1-g-n,Agency,-0.3841883835636216,0.3841883835636214
102,Apertus-8B-Instruct-2509,democratic_1-g-n,Status,-0.2101479484770781,0.2101479484770791
103,Apertus-8B-Instruct-2509,democratic_1-g-n,Politics,0.0039103013173238,-0.003910301317324
104,Apertus-8B-Instruct-2509,democratic_1-g-n,Religion,-0.1616443629224399,0.1616443629224414
105,Apertus-8B-Instruct-2509,conservative_7-g-n,Sociability,0.4525063173620088,-0.4525063173620089
106,Apertus-8B-Instruct-2509,conservative_7-g-n,Morality,0.2333245151387548,-0.2333245151387538
107,Apertus-8B-Instruct-2509,conservative_7-g-n,Ability,-0.0334621271794104,0.033462127179411
108,Apertus-8B-Instruct-2509,conservative_7-g-n,Agency,-0.3646087513287266,0.3646087513287258
109,Apertus-8B-Instruct-2509,conservative_7-g-n,Status,-0.2380445127000023,0.2380445127000009
110,Apertus-8B-Instruct-2509,conservative_7-g-n,Politics,-0.005570740833937,0.005570740833937
111,Apertus-8B-Instruct-2509,conservative_7-g-n,Religion,-0.1631642979655071,0.1631642979655093
112,Meta-Llama-3-8B,liberal_2-g-n,Sociability,0.4136095516962242,-0.413609551696224
113,Meta-Llama-3-8B,liberal_2-g-n,Morality,0.3274515927058137,-0.3274515927058137
114,Meta-Llama-3-8B,liberal_2-g-n,Ability,0.0020923512857087,-0.0020923512857089
115,Meta-Llama-3-8B,liberal_2-g-n,Agency,-0.5355808887439552,0.5355808887439552
116,Meta-Llama-3-8B,liberal_2-g-n,Status,-0.0949256105635621,0.094925610563562
117,Meta-Llama-3-8B,liberal_2-g-n,Politics,-0.0883483347559482,0.0883483347559481
118,Meta-Llama-3-8B,liberal_2-g-n,Religion,0.2826625385779829,-0.2826625385779825
119,Meta-Llama-3-8B,liberal_7-g-n,Sociability,0.4429401231625474,-0.4429401231625476
120,Meta-Llama-3-8B,liberal_7-g-n,Morality,0.319144391370006,-0.3191443913700062
121,Meta-Llama-3-8B,liberal_7-g-n,Ability,-0.0347690461520729,0.0347690461520729
122,Meta-Llama-3-8B,liberal_7-g-n,Agency,-0.5653524454082052,0.5653524454082053
123,Meta-Llama-3-8B,liberal_7-g-n,Status,-0.0734174072592597,0.0734174072592597
124,Meta-Llama-3-8B,liberal_7-g-n,Politics,-0.068647617322612,0.068647617322612
125,Meta-Llama-3-8B,liberal_7-g-n,Religion,0.2762111445848811,-0.2762111445848813
126,Qwen3-8B,democratic_6-g-n,Sociability,0.4307755460168938,-0.4307755460168942
127,Qwen3-8B,democratic_6-g-n,Morality,0.4629287794927528,-0.462928779492752
128,Qwen3-8B,democratic_6-g-n,Ability,-0.1046231319446192,0.1046231319446192
129,Qwen3-8B,democratic_6-g-n,Agency,-0.456264478222,0.456264478222
130,Qwen3-8B,democratic_6-g-n,Status,-0.0360428956302521,0.0360428956302522
131,Qwen3-8B,democratic_6-g-n,Politics,-0.0470968201080028,0.0470968201080029
132,Qwen3-8B,democratic_6-g-n,Religion,-0.0809979396568291,0.0809979396568289
133,Meta-Llama-3-8B,democratic_1-g-n,Sociability,0.4157754162817317,-0.4157754162817313
134,Meta-Llama-3-8B,democratic_1-g-n,Morality,0.3776390409871046,-0.377639040987105
135,Meta-Llama-3-8B,democratic_1-g-n,Ability,-0.2069374872492047,0.2069374872492048
136,Meta-Llama-3-8B,democratic_1-g-n,Agency,-0.4788627576217621,0.4788627576217623
137,Meta-Llama-3-8B,democratic_1-g-n,Status,-0.1577515884581533,0.1577515884581536
138,Meta-Llama-3-8B,democratic_1-g-n,Politics,-0.1933664843832356,0.1933664843832357
139,Meta-Llama-3-8B,democratic_1-g-n,Religion,0.0036871002266057,-0.0036871002266056
140,Apertus-8B-Instruct-2509,democratic_9-g-n,Sociability,0.4900181531635105,-0.4900181531635093
141,Apertus-8B-Instruct-2509,democratic_9-g-n,Morality,0.2052676853050558,-0.2052676853050567
142,Apertus-8B-Instruct-2509,democratic_9-g-n,Ability,0.0033335626687524,-0.0033335626687525
143,Apertus-8B-Instruct-2509,democratic_9-g-n,Agency,-0.4366529817091648,0.4366529817091645
144,Apertus-8B-Instruct-2509,democratic_9-g-n,Status,-0.1265542249612125,0.126554224961213
145,Apertus-8B-Instruct-2509,democratic_9-g-n,Politics,0.1305573985661396,-0.1305573985661395
146,Apertus-8B-Instruct-2509,democratic_9-g-n,Religion,-0.0987708147010618,0.0987708147010604
147,Meta-Llama-3-8B,liberal_9-g-n,Sociability,0.3741461606398951,-0.374146160639895
148,Meta-Llama-3-8B,liberal_9-g-n,Morality,0.3178382936808644,-0.3178382936808645
149,Meta-Llama-3-8B,liberal_9-g-n,Ability,-0.0353450591038987,0.0353450591038987
150,Meta-Llama-3-8B,liberal_9-g-n,Agency,-0.4844726581315201,0.4844726581315195
